A
AAC
ALZ
APK
APPX
APP
AT3
ARC
ARJ
ASS
SSA
B
BA
BIN
BMP
CPT
SEA
DAA
DMG
DDZ
DN
DNG
DPE
ECAB
ESD
JPG
JPEG
LBR
LQR
LZX
MHTML
OGG
OSG
OSK
OSR
OSZ
PAK
PNG
RAG
RAGS
RBXL
RBXLX
RBXM
RBXMX
RPM
SEN
SIS
SISX
SKB
SWM
SZS
TAR
UHA
VIV
VOL
VSA
WAX
WIM
XAP
Z
ZIM
ISO
NRG
IMG
ADF
ADZ
DMS
DSK
D64
SDI
MDS
MDX
CDI
CUE
CIF
C2D
B6T
B5T
BWT
FFPPKG
LEMONAPP
HTML
3DXML
3MF
ACP
AMF
AEC
AR
ART
ASC
ASM
BIM
BREP
C3D
C3P
CCC
CCM
CCS
CAD
CKD
CKT
CO
DRW
DFT
DGN
DGK
DMT
DXF
DWB
DWF
DWG
EASM
EDRW
EMB
EPRT
ESW
EXCELLON
EXP
F3D
FM
FMZ
G
GBR
GLM
GRB
GRI
GRO
IAM
ICD
IDW
IFC
IGES
IO
IPN
IPT
JT
MCD
MDG
OCD
PAR
PIPE
PLN
PRT
PSM
PSMODEL
PWI
PYT
SKP
RLF
RVM
RVT
RFA
RXF
S12
SCAD
SCDOC
SLDASM
SLDDRW
SLDPRT
STEP
STL
STD
TCT
TCW
UNV
VC6
VLM
VS
WRL
XE
ZOFZPROJ
BRD
BSDL
CDL
CPF
DEF
EDIF
FSDB
GDSII
HEX
LEF
MS12
OASIS
PSF
PSFXL
SDC
SDF
SPEF
SPI
CIR
SREC
S19
SST2
STIL
SV
TLF
UPF
V
VCD
VHD
VHDL
WGL
4DB
4DD
4DR
ACCDB
ACCDE
ADT
APR
BOX
CHML
DAF
DAT
DB
DBF
DTA
EGT
ESS
EAP
FDB
FP
FP3
FP5
FP7
FRM
GDB
GTABLE
KEXI
KEXIC
KEXIS
LDB
LIRS
MDA
MDB
ADP
MDE
MDF
MYD
MYI
NCF
NSF
NTF
NV2
ODB
ORA
PCONTACT
PDB
PDI
PDX
PRC
SQL
REC
REL
RIN
SDB
UDL
WDB
WMDB
ORC
AI
AVE
ZAVE
CDR
CHP
STY
CAP
VGR
DTP
GDRAW
ILDOC
INDD
MCF
PDF
PMD
PPP
PSD
PUB
QXD
SLA
SCD
XCF
0
1ST
600
602
ABW
ACL
AFP
AMI
ANS
AWW
CCF
CSV
CWK
DBK
DITA
DOC
DOCM
DOCX
DOT
DOTX
DWD
EPUB
EZW
FDX
FTM
FTX
GDOC
HWP
HWPML
LOG
LWP
MBP
MD
ME
MCW
NB
NBP
NEIS
NT
NQ
ODM
ODOC
ODT
OSHEET
OTT
OMM
PAGES
PAP
PER
PDR
PDAX
QUOX
RTF
RPT
SDW
SE
STW
INFO
TXT
UOF
UOML
VIA
WPD
WPS
WPT
WRD
WRF
WRI
XML
XPS
MYO
MYOB
TAX
YNAB
IFX
QFX
ABF
AFM
BDF
BMF
BRFNT
FNT
FON
MGF
OTF
PCF
PFA
PFB
PFM
FOND
SFD
SNF
TDF
TFM
UFO
